iter	Passed	Remaining
291	990	2400
292	994	2398
293	998	2397
294	1004	2400
295	1008	2399
296	1013	2399
297	1017	2397
298	1022	2398
299	1027	2397
300	1031	2396
301	1037	2398
302	1040	2394
303	1044	2390
304	1047	2387
305	1051	2383
306	1054	2380
307	1057	2376
308	1061	2373
309	1064	2369
310	1068	2366
311	1071	2362
312	1074	2359
313	1078	2355
314	1081	2352
315	1085	2349
316	1088	2346
317	1092	2342
318	1095	2338
319	1098	2334
320	1102	2331
321	1105	2327
322	1108	2323
323	1111	2319
324	1115	2316
325	1118	2313
326	1122	2311
327	1126	2307
328	1130	2305
329	1133	2302
330	1137	2299
331	1141	2296
332	1144	2292
333	1148	2289
334	1151	2286
335	1155	2283
336	1159	2280
337	1163	2277
338	1166	2274
339	1170	2271
340	1172	2266
341	1175	2262
342	1178	2257
343	1181	2253
344	1184	2249
345	1188	2245
346	1191	2242
347	1195	2239
348	1199	2236
349	1202	2233
350	1206	2230
351	1209	2226
352	1213	2223
353	1216	2220
354	1220	2217
355	1224	2214
356	1227	2211
357	1231	2208
358	1235	2205
359	1238	2201
360	1242	2198
361	1245	2195
362	1250	2193
363	1253	2190
364	1256	2186
365	1260	2183
366	1263	2179
367	1267	2176
368	1270	2173
369	1274	2169
370	1277	2165
371	1280	2162
372	1283	2158
373	1287	2155
374	1291	2151
375	1294	2148
376	1299	2147
377	1302	2143
378	1306	2140
379	1309	2136
380	1313	2133
381	1316	2129
382	1319	2126
383	1323	2123
384	1327	2120
385	1330	2116
386	1333	2112
387	1336	2107
388	1339	2103
389	1342	2099
390	1344	2094
391	1348	2091
392	1351	2087
393	1354	2083
394	1357	2079
395	1360	2074
396	1363	2071
397	1366	2067
398	1370	2063
399	1373	2060
400	1376	2056
401	1380	2053
402	1383	2049
403	1386	2045
404	1390	2042
405	1393	2038
406	1396	2034
407	1399	2030
408	1402	2026
409	1405	2022
410	1408	2017
411	1411	2013
412	1415	2011
413	1418	2008
414	1421	2004
415	1425	2000
416	1428	1996
417	1431	1993
418	1435	1989
419	1438	1986
420	1442	1983
421	1445	1980
422	1449	1976
423	1452	1973
424	1456	1970
425	1459	1967
426	1463	1964
427	1466	1960
428	1470	1957
429	1474	1954
430	1477	1950
431	1481	1947
432	1484	1943
433	1487	1939
434	1489	1935
435	1492	1931
436	1495	1926
437	1498	1922
438	1501	1918
439	1504	1914
440	1507	1910
441	1509	1906
442	1513	1903
443	1516	1899
444	1519	1894
445	1522	1890
446	1524	1886
447	1528	1883
448	1532	1880
449	1535	1876
450	1538	1872
451	1541	1869
452	1545	1866
453	1549	1863
454	1553	1860
455	1556	1856
456	1560	1853
457	1563	1850
458	1566	1846
459	1569	1842
460	1573	1839
461	1577	1836
462	1580	1833
463	1583	1829
464	1586	1825
465	1590	1822
466	1593	1818
467	1596	1815
468	1600	1811
469	1603	1808
470	1607	1804
471	1610	1801
472	1612	1796
473	1615	1792
474	1618	1788
475	1621	1784
476	1624	1780
477	1627	1777
478	1630	1773
479	1634	1770
480	1637	1766
481	1640	1763
482	1644	1759
483	1647	1756
484	1651	1753
485	1654	1749
486	1658	1746
487	1661	1743
488	1664	1739
489	1667	1735
490	1670	1731
491	1673	1727
492	1676	1724
493	1681	1722
494	1688	1722
495	1695	1722
496	1700	1721
497	1704	1718
498	1709	1715
499	1712	1712
500	1716	1709
501	1720	1706
502	1723	1702
503	1726	1698
504	1729	1695
505	1732	1691
506	1736	1688
507	1740	1685
508	1743	1682
509	1747	1678
510	1750	1675
511	1754	1672
512	1758	1669
513	1763	1667
514	1768	1665
515	1773	1663
516	1777	1661
517	1782	1658
518	1787	1656
519	1791	1653
520	1796	1651
521	1802	1650
522	1806	1647
523	1809	1643
524	1813	1640
525	1816	1637
526	1820	1634
527	1824	1630
528	1828	1627
529	1832	1624
530	1835	1621
531	1838	1617
532	1842	1614
533	1845	1610
534	1849	1607
535	1853	1604
536	1856	1600
537	1860	1597
538	1863	1593
539	1866	1590
540	1870	1586
541	1873	1583
542	1876	1579
543	1880	1575
544	1884	1573
545	1887	1569
546	1890	1565
547	1894	1562
548	1897	1559
549	1901	1555
550	1904	1552
551	1909	1549
552	1912	1545
553	1916	1543
554	1920	1539
555	1923	1536
556	1926	1532
557	1930	1528
558	1933	1525
559	1937	1522
560	1940	1518
561	1944	1515
562	1949	1513
563	1954	1510
564	1958	1507
565	1963	1505
566	1968	1503
567	1974	1501
568	1978	1498
569	1983	1496
570	1987	1493
571	1992	1491
572	1997	1488
573	2001	1485
574	2005	1482
575	2010	1479
576	2015	1477
577	2019	1474
578	2023	1471
579	2028	1468
580	2032	1465
581	2036	1462
582	2039	1459
583	2043	1455
584	2046	1451
585	2049	1447
586	2052	1444
587	2056	1440
588	2059	1437
589	2063	1433
590	2066	1430
591	2070	1426
592	2074	1423
593	2077	1420
594	2081	1416
595	2085	1413
596	2089	1410
597	2093	1407
598	2096	1403
599	2100	1400
600	2103	1396
601	2107	1393
602	2111	1390
603	2114	1386
604	2117	1382
605	2120	1378
606	2123	1374
607	2126	1370
608	2128	1366
609	2131	1362
610	2134	1358
611	2136	1354
612	2140	1351
613	2143	1347
614	2146	1344
615	2150	1340
616	2153	1337
617	2157	1333
618	2161	1330
619	2164	1326
620	2168	1323
621	2171	1319
622	2175	1316
623	2178	1312
624	2182	1309
625	2185	1305
626	2189	1302
627	2193	1299
628	2197	1295
629	2200	1292
630	2203	1288
631	2207	1285
632	2210	1281
633	2213	1277
634	2217	1274
635	2220	1270
636	2223	1267
637	2227	1263
638	2230	1260
639	2234	1256
640	2237	1253
641	2241	1249
642	2245	1246
643	2248	1243
644	2252	1239
645	2255	1235
646	2258	1232
647	2262	1228
648	2265	1225
649	2268	1221
650	2272	1218
651	2275	1214
652	2278	1211
653	2282	1207
654	2285	1203
655	2288	1200
656	2292	1196
657	2295	1193
658	2299	1189
659	2302	1186
660	2306	1182
661	2312	1180
662	2315	1176
663	2319	1173
664	2322	1170
665	2326	1166
666	2329	1163
667	2333	1159
668	2337	1156
669	2340	1152
670	2343	1148
671	2346	1145
672	2349	1141
673	2352	1137
674	2355	1134
675	2358	1130
676	2362	1126
677	2364	1123
678	2368	1119
679	2370	1115
680	2374	1112
681	2377	1108
682	2381	1105
683	2384	1101
684	2388	1098
685	2392	1095
686	2395	1091
687	2398	1087
688	2402	1084
689	2405	1080
690	2408	1077
691	2412	1073
692	2415	1070
693	2419	1066
694	2422	1063
695	2426	1059
696	2429	1056
697	2432	1052
698	2436	1049
699	2440	1046
700	2443	1042
701	2447	1038
702	2450	1035
703	2453	1031
704	2457	1028
705	2460	1024
706	2463	1021
707	2467	1017
708	2470	1013
709	2473	1010
710	2477	1007
711	2480	1003
712	2484	999
713	2487	996
714	2491	992
715	2494	989
716	2497	985
717	2501	982
718	2504	978
719	2508	975
720	2511	971
721	2515	968
722	2519	965
723	2522	961
724	2525	958
725	2528	954
726	2532	951
727	2536	947
728	2539	944
729	2543	940
730	2546	937
731	2550	933
732	2553	930
733	2557	926
734	2561	923
735	2564	919
736	2567	916
737	2571	912
738	2574	909
739	2578	905
740	2581	902
741	2585	898
742	2588	895
743	2592	892
744	2596	888
745	2599	885
746	2602	881
747	2606	878
748	2609	874
749	2613	871
750	2616	867
751	2619	864
752	2623	860
753	2626	856
754	2631	853
755	2634	850
756	2638	846
757	2644	844
758	2648	840
759	2651	837
760	2654	833
761	2657	830
762	2661	826
763	2664	823
764	2668	819
765	2671	816
766	2675	812
767	2678	809
768	2682	805
769	2685	802
770	2689	798
771	2692	795
772	2695	791
773	2699	788
774	2702	784
775	2706	781
776	2710	777
777	2713	774
778	2717	770
779	2720	767
780	2724	764
781	2728	760
782	2732	757
783	2735	753
784	2739	750
785	2742	746
786	2746	743
787	2749	739
788	2753	736
789	2757	733
790	2761	729
791	2764	726
792	2768	722
793	2772	719
794	2775	715
795	2779	712
796	2782	708
797	2786	705
798	2789	701
799	2793	698
800	2796	694
801	2799	691
802	2803	687
803	2806	684
804	2810	680
805	2813	677
806	2816	673
807	2819	670
808	2823	666
809	2826	663
810	2830	659
811	2833	656
812	2836	652
813	2840	649
814	2844	645
815	2847	642
816	2850	638
817	2854	635
818	2858	631
819	2862	628
820	2865	624
821	2868	621
822	2871	617
823	2875	614
824	2879	610
825	2882	607
826	2885	603
827	2889	600
828	2892	596
829	2896	593
830	2899	589
831	2903	586
832	2906	582
833	2910	579
834	2914	575
835	2917	572
836	2921	568
837	2925	565
838	2929	562
839	2933	558
840	2936	555
841	2940	551
842	2944	548
843	2948	544
844	2951	541
845	2955	537
846	2958	534
847	2962	531
848	2966	527
849	2969	524
850	2972	520
851	2976	517
852	2979	513
853	2982	509
854	2986	506
855	2990	503
856	2994	499
857	2998	496
858	3001	492
859	3005	489
860	3008	485
861	3012	482
862	3015	478
863	3019	475
864	3022	471
865	3025	468
866	3029	464
867	3032	461
868	3036	457
869	3039	454
870	3043	450
871	3046	447
872	3049	443
873	3052	440
874	3055	436
875	3058	432
876	3062	429
877	3065	425
878	3069	422
879	3072	418
880	3076	415
881	3079	412
882	3083	408
883	3086	405
884	3090	401
885	3093	398
886	3097	394
887	3101	391
888	3105	387
889	3109	384
890	3112	380
891	3116	377
892	3119	373
893	3123	370
894	3127	366
895	3132	363
896	3137	360
897	3141	356
898	3146	353
899	3150	350
900	3156	346
901	3160	343
902	3165	340
903	3170	336
904	3174	333
905	3179	329
906	3182	326
907	3186	322
908	3190	319
909	3193	315
910	3197	312
911	3200	308
912	3204	305
913	3207	301
914	3211	298
915	3215	294
916	3218	291
917	3222	287
918	3227	284
919	3231	280
920	3234	277
921	3237	273
922	3240	270
923	3244	266
924	3247	263
925	3251	259
926	3255	256
927	3259	252
928	3262	249
929	3267	245
930	3270	242
931	3274	238
932	3278	235
933	3282	231
934	3285	228
935	3289	224
936	3292	221
937	3296	217
938	3299	214
939	3303	210
940	3307	207
941	3311	203
942	3314	200
943	3318	196
944	3322	193
945	3326	189
946	3329	186
947	3333	182
948	3337	179
949	3340	175
950	3344	172
951	3348	168
952	3352	165
953	3356	161
954	3360	158
955	3363	154
956	3366	151
957	3369	147
958	3372	144
959	3375	140
960	3378	137
961	3380	133
962	3383	130
963	3386	126
964	3389	122
965	3392	119
966	3395	115
967	3399	112
968	3402	108
969	3405	105
970	3408	101
971	3411	98
972	3415	94
973	3419	91
974	3422	87
975	3425	84
976	3427	80
977	3430	77
978	3433	73
979	3436	70
980	3438	66
981	3441	63
982	3444	59
983	3448	56
984	3452	52
985	3455	49
986	3459	45
987	3461	42
988	3465	38
989	3467	35
990	3471	31
991	3475	28
992	3477	24
993	3480	21
994	3483	17
995	3486	14
996	3489	10
997	3492	6
998	3496	3
999	3499	0
