iter	RMSE
148	0.557632599
149	0.5572345117
150	0.5569144825
151	0.5566102331
152	0.5564039159
153	0.5560776797
154	0.5551997523
155	0.5549977163
156	0.5547183879
157	0.5542005793
158	0.5535098404
159	0.553179495
160	0.5529075676
161	0.5525667417
162	0.5522011996
163	0.5519166338
164	0.5515704982
165	0.5512124268
166	0.5506759156
167	0.5504464584
168	0.5502394207
169	0.5499077013
170	0.5496555425
171	0.5489410348
172	0.5482212642
173	0.5479091285
174	0.5476112344
175	0.5473138546
176	0.5470302832
177	0.5468329555
178	0.546636034
179	0.5464188473
180	0.5462385633
181	0.5460059043
182	0.5457908274
183	0.5452555916
184	0.5449616795
185	0.544745769
186	0.5445690644
187	0.5443236829
188	0.5441107232
189	0.5439118038
190	0.5436972879
191	0.5434220769
192	0.5432633051
193	0.5430515575
194	0.5428423732
195	0.5426153704
196	0.5424309474
197	0.5421495134
198	0.541943315
199	0.5417007921
200	0.541396148
201	0.5411881681
202	0.5405216724
203	0.5403494861
204	0.5401814559
205	0.5399206054
206	0.539713196
207	0.5394694317
208	0.5391491308
209	0.5384533866
210	0.5381571748
211	0.5379470484
212	0.5376523888
213	0.5374671677
214	0.5373421095
215	0.537114471
216	0.5369351173
217	0.536698511
218	0.5365135651
219	0.5363529912
220	0.5361570134
221	0.5360049538
222	0.5357986204
223	0.5356189531
224	0.5350095307
225	0.5348742509
226	0.5346084183
227	0.5344300322
228	0.534119053
229	0.5339796322
230	0.5337722237
231	0.5332644241
232	0.5331290359
233	0.5328653536
234	0.5323893407
235	0.5322500594
236	0.5319154103
237	0.5316884436
238	0.53155121
239	0.5309783828
240	0.5308016987
241	0.5305667248
242	0.5304482054
243	0.5302531859
244	0.5301378596
245	0.5299297881
246	0.5296389316
247	0.5294890318
248	0.5293183227
249	0.5290873381
250	0.5288913659
251	0.5287699897
252	0.5286187905
253	0.5284598662
254	0.5282880426
255	0.5278866717
256	0.5273890922
257	0.5271721395
258	0.5267513392
259	0.5265981617
260	0.5263764483
261	0.5262006764
262	0.5260791496
263	0.5259316729
264	0.5257021623
265	0.5255697476
266	0.5253066231
267	0.5250785652
268	0.5248812873
269	0.5247162654
270	0.5245895988
271	0.5243534146
272	0.5242489499
273	0.5240410265
274	0.5238388628
275	0.5236167807
276	0.5234630162
277	0.5232875829
278	0.5230736131
279	0.5228671506
280	0.5227156896
281	0.5226114912
282	0.5224597009
283	0.522251507
284	0.5220965133
285	0.5219804418
286	0.5218798001
287	0.5217287063
288	0.5216075441
289	0.5214761766
290	0.5211136863
291	0.5209450626
292	0.5207990999
293	0.5206127603
294	0.5204315654
295	0.5202452946
296	0.5201250119
297	0.5200138019
298	0.5198171562
299	0.5196533826
300	0.5195643953
301	0.5194449707
302	0.5192813243
303	0.5190739041
304	0.5188866803
305	0.5187654805
306	0.5186495647
307	0.5184783651
308	0.5183707275
309	0.5181921584
310	0.5179902365
311	0.5178543378
312	0.5176914845
313	0.5174722629
314	0.5173263174
315	0.517228969
316	0.517049743
317	0.5169138555
318	0.5168089342
319	0.5166896366
320	0.5164763055
321	0.5163307721
322	0.5162134968
323	0.5160793652
324	0.5159189111
325	0.5157279075
326	0.5156220247
327	0.5154425171
328	0.5153008606
329	0.5152054301
330	0.5149341549
331	0.5146948073
332	0.5145824057
333	0.5144253208
334	0.5142080219
335	0.5138704055
336	0.5137313168
337	0.5134463792
338	0.5133505393
339	0.5132049965
340	0.5130317062
341	0.5128670659
342	0.512704969
343	0.5125772004
344	0.5124973411
345	0.5123829071
346	0.5122688956
347	0.5121760077
348	0.5120771357
349	0.5119543069
350	0.5118575936
351	0.5116666038
352	0.5115401083
353	0.5114034545
354	0.5112359612
355	0.5110712347
356	0.5109456815
357	0.5108215909
358	0.5105939725
359	0.5104505005
360	0.5103165916
361	0.5101962022
362	0.5098613844
363	0.5097297284
364	0.5095507561
365	0.5094620891
366	0.5092950556
367	0.5091301093
368	0.5089693852
369	0.5088636181
370	0.5087725869
371	0.5086934328
372	0.5086078351
373	0.5084639834
374	0.5082880204
375	0.508039804
376	0.5078693961
377	0.5077226858
378	0.5076136029
379	0.5075784578
380	0.5074462361
381	0.5072671775
382	0.5071206063
383	0.5068506651
384	0.5066464309
385	0.5065219297
386	0.506405634
387	0.5062916164
388	0.5061457359
389	0.5060450991
390	0.5059200204
391	0.505811902
392	0.5056311414
393	0.5055891495
394	0.5054399847
395	0.5053501336
396	0.5052470219
397	0.505118803
398	0.5050155498
399	0.5048918157
400	0.5047684216
401	0.5045919879
402	0.5044219667
403	0.5043584521
404	0.5042164263
405	0.5041272911
406	0.5041008492
407	0.5039713158
408	0.5038378981
409	0.5037796546
410	0.5036768315
411	0.5035810893
412	0.5034627026
413	0.5033566405
414	0.5033166303
415	0.5031747691
416	0.5030950661
417	0.5029730128
418	0.5029025847
419	0.5028518133
420	0.5027333927
421	0.5026278445
422	0.5024880788
423	0.5023852508
424	0.5022800883
425	0.5021893388
426	0.5020368848
427	0.5019166353
428	0.5017086708
429	0.5015794706
430	0.5015033825
431	0.50135659
432	0.5011918282
433	0.5010742646
434	0.5009614609
435	0.5008665335
436	0.5006681477
437	0.5005663204
438	0.5004098918
439	0.5003004237
440	0.5002093003
441	0.5001240309
442	0.5000267377
443	0.4999703106
444	0.4998773641
445	0.4997638854
446	0.4996515551
447	0.4995291308
448	0.4994177866
449	0.4993147351
450	0.4992353974
451	0.499134882
452	0.4990574296
453	0.4989424839
454	0.4988085791
455	0.4986940108
456	0.4985397659
457	0.4984814367
458	0.4983952
459	0.498323537
460	0.4981764174
461	0.4980778289
462	0.4980004779
463	0.4979259565
464	0.4978210054
465	0.4977780054
466	0.4975533683
467	0.4974795967
468	0.4973973148
469	0.4973055608
470	0.4972239057
471	0.4971045957
472	0.4970593194
473	0.4969844898
474	0.4968805687
475	0.4968391091
476	0.4967444099
477	0.4966246425
478	0.4965217205
479	0.496372578
480	0.4963010177
481	0.4961509193
482	0.496071709
483	0.4959802806
484	0.4959291598
485	0.4958499358
486	0.4957595041
487	0.4956579973
488	0.4955155703
489	0.4954235635
490	0.4953045861
491	0.4951960787
492	0.4950967048
493	0.4949978762
494	0.4948094514
495	0.4946422115
496	0.4945308125
497	0.4944870555
498	0.4943833891
499	0.4943178544
500	0.4942259326
501	0.4942116976
502	0.4941268644
503	0.4940542247
504	0.4939431656
505	0.4938698795
506	0.4938251562
507	0.4937637931
508	0.4936669929
509	0.4935236729
510	0.4933900567
511	0.493246415
512	0.4931721772
513	0.4931222972
514	0.4930336458
515	0.4929647479
516	0.4928991746
517	0.4927963679
518	0.4927053449
519	0.4925861676
520	0.4924969435
521	0.4924557364
522	0.4923588528
523	0.4922598814
524	0.4921121199
525	0.4919914521
526	0.491894435
527	0.4918043886
528	0.4917204507
529	0.491638795
530	0.4915172292
531	0.4914328053
532	0.4912937396
533	0.4911876376
534	0.4911190867
535	0.4910075029
536	0.4909543973
537	0.4908871221
538	0.4908418204
539	0.4907616605
540	0.4905840876
541	0.49035042
542	0.4902796938
543	0.4902029666
544	0.4901668735
545	0.4901004935
546	0.4900656403
547	0.4900018927
548	0.4899878786
549	0.4899084094
550	0.4898244991
551	0.4897186133
552	0.4896166312
553	0.4895730034
554	0.489454234
555	0.489359793
556	0.4893122253
557	0.4891883491
558	0.489093665
559	0.4890426735
560	0.4890346788
561	0.4889347143
562	0.4888110956
563	0.4887147825
564	0.4886302681
565	0.4885115533
566	0.4883084456
567	0.4881993954
568	0.4881024963
569	0.4880113493
570	0.4879367229
571	0.4878614374
572	0.4877677426
573	0.4877014259
574	0.4876018937
575	0.4875147213
576	0.4874311168
577	0.4872875349
578	0.4872276133
579	0.4871380823
580	0.4870167233
581	0.4869582451
582	0.4868657732
583	0.4867777341
584	0.4866945473
585	0.4865921426
586	0.4864867089
587	0.4864134512
588	0.4862986367
589	0.4862262011
590	0.4861576961
591	0.4860734785
592	0.4860058536
593	0.4859889082
594	0.485912214
595	0.4858302564
596	0.4857530094
597	0.4855167026
598	0.4854302479
599	0.4853061649
600	0.4852420635
601	0.4851300915
602	0.485046499
603	0.4848945192
604	0.4847402074
605	0.4846573499
606	0.4845780628
607	0.4844977496
608	0.4844602787
609	0.4844273157
610	0.4843641861
611	0.4842323461
612	0.4841455554
613	0.484043282
614	0.4839450899
615	0.4838529273
616	0.4837560695
617	0.4836806385
618	0.4836064081
619	0.4835457018
620	0.4834343428
621	0.483411209
622	0.4833089589
623	0.4832521223
624	0.4831988808
625	0.4831080435
626	0.4830389284
627	0.4829635721
628	0.4828790022
629	0.4827802841
630	0.4827476686
631	0.4827109324
632	0.4825987095
633	0.4825444697
634	0.482414373
635	0.4823273316
636	0.4822578687
637	0.4821976839
638	0.4821371302
639	0.4820631017
640	0.4820022136
641	0.4819264157
642	0.4818304234
643	0.4816989246
644	0.4815994057
645	0.4815183055
646	0.4814587654
647	0.4814211222
648	0.4812854366
649	0.4812565411
650	0.4811780256
651	0.4811062017
652	0.4810480164
653	0.4809481343
654	0.4808836118
655	0.4808381762
656	0.4808175599
657	0.4807389145
658	0.4806086464
659	0.4805305775
660	0.4804676354
661	0.4803601969
662	0.4803300616
663	0.4802177908
664	0.4801102519
665	0.4799281142
666	0.4797887546
667	0.4796684348
668	0.479603367
669	0.4794952269
670	0.479428631
671	0.4792997931
672	0.4792431892
673	0.4791891448
674	0.4791291331
675	0.4790670893
676	0.4789720435
677	0.4788928212
678	0.478791707
679	0.4786994077
680	0.4786362178
681	0.4785391629
682	0.4784641238
683	0.4783219504
684	0.4782353785
685	0.4781894304
686	0.478118745
687	0.4781007656
688	0.4779980024
689	0.4779195388
690	0.477834335
691	0.4777640508
692	0.4776835884
693	0.4775996165
694	0.4775630628
695	0.4774787781
696	0.4773806952
697	0.4773423883
698	0.4773130553
699	0.4772400525
700	0.477230769
701	0.4771571666
702	0.4771174642
703	0.4770415615
704	0.4769585401
705	0.4769333768
706	0.476837329
707	0.4768172197
708	0.4767430316
709	0.4766715827
710	0.4765512248
711	0.4765163497
712	0.4764626567
713	0.47635026
714	0.4763314816
715	0.4763171143
716	0.4762545156
717	0.4761065937
718	0.4760136479
719	0.4759166536
720	0.475821617
721	0.475752178
722	0.4757017698
723	0.4756401992
724	0.4755848051
725	0.475530921
726	0.4754980965
727	0.4754627225
728	0.4754082245
729	0.4753732228
730	0.475319061
731	0.4752896271
732	0.4752111911
733	0.4751024394
734	0.4750097488
735	0.4749865706
736	0.474902522
737	0.4748604542
738	0.4747846813
739	0.4747436884
740	0.4747105027
741	0.4745921482
742	0.4745554243
743	0.4744680532
744	0.4744251826
745	0.474370705
746	0.4743294237
747	0.4742642804
748	0.4742086985
749	0.4741476315
750	0.4740452403
751	0.473973342
752	0.473887956
753	0.4737863228
754	0.4737278152
755	0.4736271683
756	0.4735682087
757	0.4735019813
758	0.4734813863
759	0.4734349342
760	0.4733756905
761	0.4733621347
762	0.4732830313
763	0.4732364329
764	0.4731460869
765	0.4730711591
766	0.4730403312
767	0.4729597225
768	0.4728694779
769	0.472814383
770	0.4727566059
771	0.4726938853
772	0.4726228325
773	0.4725167497
774	0.4724617391
775	0.4723967777
776	0.4722914375
777	0.472193096
778	0.472184959
779	0.472115885
780	0.4720653606
781	0.4719762512
782	0.4719195696
783	0.4718355785
784	0.4717849784
785	0.4717360945
786	0.4716547546
787	0.4715503678
788	0.4714993865
789	0.4714071896
790	0.4712895654
791	0.4712807078
792	0.4712054928
793	0.4711328919
794	0.4710841654
795	0.4709424896
796	0.4708717214
797	0.4708176752
798	0.4707538044
799	0.4706490483
800	0.4705610658
801	0.4704985033
802	0.4704221548
803	0.4703847929
804	0.4703139638
805	0.4702476218
806	0.4701565521
807	0.4701019672
808	0.4700613429
809	0.4699962668
810	0.4699125843
811	0.4698329019
812	0.4697609382
813	0.4696801875
814	0.4696049331
815	0.4695200991
816	0.4694843795
817	0.4694259932
818	0.4693831438
819	0.4693360973
820	0.4692632493
821	0.4691460181
822	0.469050404
823	0.4690014565
824	0.4688834761
825	0.4688169661
826	0.4687177902
827	0.4686604661
828	0.468526167
829	0.4684647704
830	0.4684145558
831	0.4683546892
832	0.4682786777
833	0.4682399953
834	0.4681807843
835	0.4681191179
836	0.4680781877
837	0.4679749791
838	0.467870964
839	0.4677479526
840	0.4676229144
841	0.467558366
842	0.4674967491
843	0.4674233763
844	0.4673859756
845	0.467294541
846	0.4672401777
847	0.4671330905
848	0.4670700475
849	0.4670024307
850	0.4669427056
851	0.4668993602
852	0.4668222425
853	0.4667728456
854	0.4667069795
855	0.4666399686
856	0.4666057176
857	0.4665091895
858	0.4664482541
859	0.4663775264
860	0.4662424754
861	0.4662042423
862	0.4661438772
863	0.4660744383
864	0.4660320444
865	0.4659515324
866	0.465902109
867	0.4658342675
868	0.4657484573
869	0.4656900318
870	0.4655755709
871	0.4655296138
872	0.465438817
873	0.4653753204
874	0.4652569477
875	0.4651808816
876	0.4651161225
877	0.4650689558
878	0.4650195972
879	0.4649816307
880	0.4649118133
881	0.4648392013
882	0.4647954327
883	0.4647794486
884	0.4646662624
885	0.4646044273
886	0.4645275638
887	0.4644681975
888	0.464401826
889	0.4643175901
890	0.464235087
891	0.4641664457
892	0.4640585827
893	0.464011647
894	0.4639450912
895	0.4638454211
896	0.4637353104
897	0.4636616801
898	0.4635765515
899	0.4634637482
900	0.4634059869
901	0.463338055
902	0.4632569775
903	0.4631879533
904	0.4631402911
905	0.4630829939
906	0.4630035543
907	0.4629325387
908	0.4628603607
909	0.4627677745
910	0.4626699695
911	0.4626132865
912	0.4625438008
913	0.4624845968
914	0.4624171316
915	0.4623748108
916	0.4623089427
917	0.462229766
918	0.4621888081
919	0.4621363462
920	0.4620950115
921	0.462030929
922	0.4619698924
923	0.4619253516
924	0.4618674274
925	0.4617978947
926	0.4617482948
927	0.4616772586
928	0.4615830238
929	0.461486823
930	0.4614172997
931	0.4613491461
932	0.4612820836
933	0.4612336564
934	0.4611888538
935	0.4611372626
936	0.461074864
937	0.4610199108
938	0.4609807985
939	0.4609327665
940	0.4608574578
941	0.4607986654
942	0.4607315803
943	0.4606769258
944	0.4605989854
945	0.4605520796
946	0.4604968179
947	0.4604388368
948	0.4603690459
949	0.4603206734
950	0.4602780809
951	0.4602020694
952	0.4601546083
953	0.4600804987
954	0.459994112
955	0.4599129735
956	0.459838344
957	0.4598056363
958	0.4596938775
959	0.4596350586
960	0.459588288
961	0.4595226803
962	0.4594698744
963	0.4594107129
964	0.4593600864
965	0.4593008333
966	0.4592533413
967	0.4592082232
968	0.4591451888
969	0.4590932393
970	0.4590089652
971	0.4589368035
972	0.4588383124
973	0.4587786113
974	0.4587216934
975	0.458645413
976	0.4585956042
977	0.458548553
978	0.4584438897
979	0.4583971065
980	0.4583426119
981	0.4582484918
982	0.458194908
983	0.4581293723
984	0.4580641266
985	0.4580062976
986	0.4579521751
987	0.4579031991
988	0.457824804
989	0.45779302
990	0.4577447342
991	0.4576647658
992	0.4576079728
993	0.457525613
994	0.4574896518
995	0.4574173612
996	0.4573706607
997	0.4572864197
998	0.4572044841
999	0.4571477881
